t, velocity, pressure, k, epsilon
 1.0000000e-01,  0.0000000e+00,  0.0000000e+00,  1.1695514e+01,  9.9921662e+00
 2.0000000e-01,  0.0000000e+00,  0.0000000e+00,  4.9562537e+01,  1.0058718e+02
 3.0000000e-01,  0.0000000e+00,  0.0000000e+00,  2.7973722e+01,  5.4131433e+01
 4.0000000e-01,  0.0000000e+00,  0.0000000e+00,  1.7083485e+01,  3.2031023e+01
 5.0000000e-01,  0.0000000e+00,  0.0000000e+00,  1.1311357e+01,  2.0633841e+01
 6.0000000e-01,  0.0000000e+00,  0.0000000e+00,  8.0908711e+00,  1.4355492e+01
 7.0000000e-01,  0.0000000e+00,  0.0000000e+00,  6.1864526e+00,  1.0666652e+01
 8.0000000e-01,  0.0000000e+00,  0.0000000e+00,  4.9906006e+00,  8.3585155e+00
 9.0000000e-01,  0.0000000e+00,  0.0000000e+00,  4.1965050e+00,  6.8290895e+00
 1.0000000e+00,  0.0000000e+00,  0.0000000e+00,  3.6428544e+00,  5.7642404e+00
